Date,Open,High,Low,Close,Adj Close,Volume
2009-07-01,20.500000,23.571428,19.202858,23.341429,15.630884,2735534200
2009-08-01,23.601429,24.641428,22.774286,24.030001,16.091997,2041281200
2009-09-01,23.998571,26.985714,23.444286,26.478571,17.731720,2497329800
2009-10-01,26.478571,29.815714,25.814285,26.928572,18.033066,3239044200
2009-11-01,27.114286,29.714285,26.510000,28.558571,19.124607,2113696200
2009-12-01,28.891428,30.564285,26.954287,30.104286,20.159719,2848489700
2010-01-01,30.490000,30.798571,27.178572,27.437143,18.373636,3792248600
2010-02-01,27.481428,29.309999,27.264286,29.231428,19.575197,2694020000
2010-03-01,29.392857,33.925713,29.350000,33.571430,22.481535,3038543200
2010-04-01,33.915714,38.922855,33.250000,37.298573,24.977465,3091782400
2010-05-01,37.691429,38.268570,28.464285,36.697144,24.574713,4520663700
2010-06-01,37.098572,39.858570,34.599998,35.932858,24.062895,4162813200
2010-07-01,36.328571,37.998573,34.228573,36.750000,24.610109,3917426100
2010-08-01,37.205715,37.754284,33.651428,34.728573,23.256433,2397280200
2010-09-01,35.352856,42.104286,35.182858,40.535713,27.145264,2962479800
2010-10-01,40.878571,45.571430,39.681427,42.997143,28.793591,3058644400
2010-11-01,43.174286,45.900002,42.537144,44.450001,29.766512,2377021500
2010-12-01,45.038570,46.665714,44.984287,46.080002,30.858070,1743308700
2011-01-01,46.520000,49.799999,46.405716,48.474285,32.461422,2710383900
2011-02-01,48.757141,52.128571,48.245716,50.458572,33.790234,2323987400
2011-03-01,50.781429,51.667141,46.608570,49.787144,33.340599,2826614700
2011-04-01,50.158573,50.732857,45.737144,50.018570,33.495571,2313457300
2011-05-01,49.962856,50.261429,47.060001,49.689999,33.275539,1728015100
2011-06-01,49.838570,50.304287,44.357143,47.952858,32.112247,2315962600
2011-07-01,47.992859,57.785713,47.742859,55.782856,37.355709,2663486700
2011-08-01,56.825714,57.071430,50.431427,54.975716,36.815193,4035649800
2011-09-01,55.117142,60.408573,52.354286,54.474285,36.479412,2994362000
2011-10-01,54.338570,60.957142,50.605713,57.825714,38.723732,3285356900
2011-11-01,56.772858,58.285713,51.902859,54.599998,36.563591,2240925400
2011-12-01,54.648571,58.441429,53.954285,57.857143,38.744774,1576633100
2012-01-01,58.485714,65.462860,58.428570,65.211426,43.669674,1714963600
2012-02-01,65.487144,78.230003,64.854286,77.491432,51.893127,2842138600
2012-03-01,78.309998,88.778572,73.745712,85.650002,57.356617,3896084500
2012-04-01,85.975716,92.000000,79.285713,83.425713,55.867096,3899747600
2012-05-01,83.557144,85.251427,74.597145,82.532860,55.269192,2776586400
2012-06-01,81.308571,84.285713,78.357140,83.428574,55.868996,1963956400
2012-07-01,83.532860,88.552856,81.428574,87.251427,58.429028,2227412600
2012-08-01,87.987144,97.267143,85.750000,95.034286,63.640930,2069051600
2012-09-01,95.108574,100.724289,93.714287,95.300003,65.787643,2299751300
2012-10-01,95.879997,96.678574,83.957146,85.045715,58.708897,3035707500
2012-11-01,85.459999,86.142860,72.250000,83.611427,57.718758,3232462800
2012-12-01,84.807144,84.941429,71.604286,76.024284,54.206390,3033188200
2013-01-01,79.117142,79.285713,62.142857,65.070000,46.395828,3280855900
2013-02-01,65.587143,69.277145,62.522858,63.057144,44.960632,2336008500
2013-03-01,62.571430,67.135712,59.857143,63.237144,46.995083,2294219200
2013-04-01,63.128571,63.607143,55.014286,63.254284,47.007820,2740872400
2013-05-01,63.494286,66.535713,59.842857,64.247147,47.745678,2361882600
2013-06-01,64.389999,64.918571,55.552856,56.647144,44.128880,1754634000
2013-07-01,57.527142,65.334282,57.317142,64.647141,50.360981,1634528700
2013-08-01,65.107140,73.391426,64.751427,69.602859,54.221554,2014584600
2013-09-01,70.442856,72.559998,63.888573,68.107140,55.609756,2157735300
2013-10-01,68.349998,77.035713,68.325714,74.671425,60.969501,1959433000
2013-11-01,74.860001,79.761429,73.197144,79.438568,64.861900,1306288900
2013-12-01,79.714287,82.162857,76.971428,80.145714,68.210831,1764349300
2014-01-01,79.382858,80.028572,70.507141,71.514282,60.864742,2191488600
2014-02-01,71.801430,78.741432,71.328575,75.177139,63.982155,1470091700
2014-03-01,74.774284,78.428574,74.687141,76.677139,68.095001,1250424700
2014-04-01,76.822861,85.632858,73.047142,84.298569,74.863411,1608765200
2014-05-01,84.571426,92.024284,82.904289,90.428574,80.307327,1433917100
2014-06-01,90.565712,95.050003,88.928574,92.930000,85.867310,1206934800
2014-07-01,93.519997,99.440002,92.570000,95.599998,88.334381,1035086000
2014-08-01,94.900002,102.900002,93.279999,102.500000,94.709984,937077000
2014-09-01,103.059998,103.739998,96.139999,100.750000,93.556053,1526420000
2014-10-01,100.589996,108.040001,95.180000,108.000000,100.288353,1360280200
2014-11-01,108.220001,119.750000,107.720001,118.930000,110.437927,820408200
2014-12-01,118.809998,119.250000,106.260002,110.379997,102.942894,1073594600
2015-01-01,111.389999,120.000000,104.629997,117.160004,109.266068,1304643800
2015-02-01,118.050003,133.600006,116.080002,128.460007,119.804710,1136535200
2015-03-01,129.250000,130.279999,121.629997,124.430000,116.504211,1138642100
2015-04-01,124.820000,134.539993,123.099998,125.150002,117.178352,996135500
2015-05-01,126.099998,132.970001,123.360001,130.279999,121.981583,954152100
2015-06-01,130.279999,131.389999,124.480003,125.430000,117.931068,878512600
2015-07-01,126.900002,132.970001,119.220001,121.300003,114.047997,1057507200
2015-08-01,121.500000,122.570000,92.000000,112.919998,106.168999,1786018000
2015-09-01,110.150002,116.889999,107.360001,110.300003,104.175049,1206547300
2015-10-01,109.070000,121.220001,107.309998,119.500000,112.864182,1112323100
2015-11-01,120.800003,123.820000,111.000000,118.300003,111.730812,750640600
2015-12-01,118.750000,119.860001,104.820000,105.260002,99.840477,921529700
2016-01-01,102.610001,105.849998,92.389999,97.339996,92.328247,1271024100
2016-02-01,96.470001,98.889999,92.589996,96.690002,91.711731,810862600
2016-03-01,97.650002,110.419998,97.419998,108.989998,103.939392,746049600
2016-04-01,108.779999,112.389999,92.510002,93.739998,89.396065,872396200
2016-05-01,93.970001,100.730003,89.470001,99.860001,95.232468,900318100
2016-06-01,99.019997,101.889999,91.500000,95.599998,91.724960,779055700
2016-07-01,95.489998,104.550003,94.370003,104.209999,99.985970,685779600
2016-08-01,104.410004,110.230003,104.000000,106.099998,101.799362,630128500
2016-09-01,106.139999,116.180000,102.529999,113.050003,109.055237,968015600
2016-10-01,112.709999,118.690002,112.279999,113.540001,109.527924,686914300
2016-11-01,113.459999,113.769997,104.080002,110.519997,106.614632,721305500
2016-12-01,110.370003,118.019997,108.250000,115.820000,112.300980,608771700
2017-01-01,115.800003,122.440002,114.760002,121.349998,117.662964,563122000
2017-02-01,127.029999,137.479996,127.010002,136.990005,132.827789,574968600
2017-03-01,137.889999,144.500000,137.050003,143.660004,139.899048,561628400
2017-04-01,143.710007,145.460007,140.059998,143.649994,139.889297,373304100
2017-05-01,145.100006,156.649994,144.270004,152.759995,148.760788,653981800
2017-06-01,153.169998,155.979996,142.199997,144.020004,140.828522,684178100
2017-07-01,144.880005,153.990005,142.410004,148.729996,145.434128,422011900
2017-08-01,149.100006,164.520004,148.410004,164.000000,160.365753,661069000
2017-09-01,164.800003,164.940002,149.160004,154.119995,151.296494,680374100
2017-10-01,154.259995,169.649994,152.460007,169.039993,165.943161,504291300
2017-11-01,169.869995,176.240005,165.279999,171.850006,168.701691,600663400
2017-12-01,169.949997,177.199997,166.460007,169.229996,166.726913,530833500
2018-01-01,170.160004,180.100006,164.699997,167.429993,164.953522,659487300
2018-02-01,167.169998,180.619995,150.240005,178.119995,175.485413,927894300
2018-03-01,178.539993,183.500000,164.940002,167.779999,165.972290,713010900
2018-04-01,166.639999,178.940002,160.630005,165.259995,163.479431,666057900
2018-05-01,166.410004,190.369995,165.270004,186.869995,184.856613,620976300
2018-06-01,187.990005,194.199997,180.729996,185.110001,183.821686,527624500
2018-07-01,183.820007,195.960007,183.419998,190.289993,188.965622,393691400
2018-08-01,199.130005,228.869995,197.309998,227.630005,226.045761,700273700
2018-09-01,228.410004,229.669998,215.300003,225.740005,224.955093,678972000
2018-10-01,227.949997,233.470001,206.089996,218.860001,218.099014,789748500
2018-11-01,219.050003,222.360001,170.259995,178.580002,177.959076,961326400
2018-12-01,184.460007,184.940002,146.589996,157.740005,157.740005,898922500
2019-01-01,154.889999,169.000000,142.000000,166.440002,166.440002,828087400
2019-02-01,166.960007,175.570007,165.929993,170.940002,170.940002,160192900
2019-02-07,172.399994,173.929993,170.339996,170.940002,170.940002,31741690
